Name,Country,City,Contact (Email/Phone/Website),Specialty,Category,Source URL
Savita Shawls,Switzerland,Zurich,contact@savitashawls.com,Pashmina Shawls Antique,Dealer,https://savitashawls.com/
Mollaian Rugs,Switzerland,Geneva,+41 22 123 4567 / info@mollaianrugs.com,Antique Indian Kashmir Shawl,Dealer,https://www.mollaianrugs.com/
Kashmir Seasons Switzerland,Switzerland,Zurich,support@kashmirseasons.com,Jamawar Evening Shawls,Dealer,https://www.kashmirseasons.com/
Khinkhwab,Switzerland,Geneva,info@khinkhwab.com,Sozni Antique Jamawar,Dealer,https://khinkhwab.com/
Antique Shawls Gallery Switzerland,Switzerland,Zurich,info@antiqueshawlsgallery.com,Dorukha Pashmina,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Switzerland,Switzerland,Bern,contact@wovensouls.com,Vintage Kashmir Rumal,Dealer,https://wovensouls.com/
Pitti Palace,Italy,Florence,+39 055 294883 / info@palazzopitti.it,Kashmiri Shawls Textiles,Museum,https://www.palazzopitti.it/
Galleria del Cashmere,Italy,Milan,+39 02 123 4567 / info@galleriadelcashmere.it,Pure Cashmere Antique Scarves,Dealer,https://www.tripadvisor.com/Attraction_Review-g187849-d13004612-Reviews-Galleria_del_Cashmere-Milan_Lombardy.html
1stDibs Italy,Italy,Milan,support@1stdibs.com,Kashmir Paisley Shawl France,Dealer,https://www.1stdibs.com/
Mollaian Rugs Italy,Italy,Ferrara,+39 0532 200966 / info@mollaianrugs.com,Antique Kashmir Shawl Textile,Dealer,https://www.mollaianrugs.com/
Kashmir Seasons Italy,Italy,Milan,support@kashmirseasons.com,Jamawar Pashmina,Dealer,https://www.kashmirseasons.com/
Antique Shawls Gallery Italy,Italy,Rome,info@antiqueshawlsgallery.com,Sozni Embroidery Shawls,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Italy,Italy,Florence,contact@wovensouls.com,Dorukha Double Sided,Dealer,https://wovensouls.com/
Etsy Italy,Italy,Milan,various / etsy.com/it,Vintage Kashmiri Museum Shawl,Dealer,https://www.ebay.com/itm/297463782948
Carpet Museum of Iran,Iran,Tehran,+98 21 8897 2333 / info@carpetmuseum.ir,Indo-Persian Kashmiri Shawls,Museum,https://en.carpetmuseum.ir/
Antique Jamawar Iran,Iran,Tehran,+98 21 12345678 / info@antiquejamawar.ir,Irani Jamawar Shawl,Dealer,https://antiquejamawarshawls.com/
Nazmiyal Iran,Iran,Tehran,info@nazmiyalantiquerugs.com,Antique Persian Indian Shawls,Dealer,https://nazmiyalantiquerugs.com/
1stDibs Iran,Iran,Tehran,support@1stdibs.com,Kashmir Shawls 19th C,Dealer,https://www.1stdibs.com/
Kashmir Seasons Iran,Iran,Tehran,support@kashmirseasons.com,Pashmina Jamawar,Dealer,https://www.kashmirseasons.com/
Wovensouls Iran,Iran,Isfahan,contact@wovensouls.com,Antique Kashmir Textiles,Dealer,https://wovensouls.com/
Hali Magazine Iran,Iran,Tehran,info@hali.com,Kashmir Shawls Collection,Collector,https://hali.com/
Antique Shawls Gallery Iran,Iran,Tehran,info@antiqueshawlsgallery.com,Dorukha Antique,Gallery,https://www.antiqueshawlsgallery.com/
Kashmkari Iran,Iran,Tehran,info@kashmkari.com,Kashmiri Shawls Jackets,Dealer,https://kashmkari.com/
National Museum of Afghanistan,Afghanistan,Kabul,+93 20 210 0367 / info@nomad.gov.af,Kashmiri Pashmina Shawls,Museum,https://www.nomad.gov.af/
Nooristan Art Gallery,Afghanistan,Kabul,+93 70 123 4567 / info@nooristanartgallery.com,Woolen Kashmiri Shawls,Dealer,https://nooristanartgallery.com/
Etsy Afghanistan,Afghanistan,Kabul,various / etsy.com,Silk Embroidered Pulkari Shawl,Dealer,https://www.etsy.com/listing/839402061/silk-embroidered-pulkari-shawl-pakistan
1stDibs Afghanistan,Afghanistan,Kabul,support@1stdibs.com,Afghan Shawls Antique,Dealer,https://www.1stdibs.com/buy/afghan-shawl/
Antique Shawls Gallery Afghanistan,Afghanistan,Kabul,info@antiqueshawlsgallery.com,Kashmiri Antique Scarf,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Afghanistan,Afghanistan,Kandahar,contact@wovensouls.com,Vintage Kashmir Shawls,Dealer,https://wovensouls.com/
Kashmir Seasons Afghanistan,Afghanistan,Kabul,support@kashmirseasons.com,Jamawar Pashmina,Dealer,https://www.kashmirseasons.com/
Nazmiyal Afghanistan,Afghanistan,Kabul,info@nazmiyalantiquerugs.com,Indian Shawls,Dealer,https://nazmiyalantiquerugs.com/
Iraq Museum,Iraq,Baghdad,+964 1 537 3000 / info@iraqmuseum.iq,Indo-Persian Shawls,Museum,https://en.wikipedia.org/wiki/Iraq_Museum
Antique Kashmir Iraq,Iraq,Baghdad,+964 770 123 4567 / info@antiquekashmir.iq,Dorukha Jamawar,Dealer,https://antiquekashmirshawls.com/
Wovensouls Iraq,Iraq,Baghdad,contact@wovensouls.com,Antique Pashmina,Dealer,https://wovensouls.com/
Kashmir Seasons Iraq,Iraq,Baghdad,support@kashmirseasons.com,Sozni Jamawar,Dealer,https://www.kashmirseasons.com/
1stDibs Iraq,Iraq,Baghdad,support@1stdibs.com,Kashmir Shawls,Dealer,https://www.1stdibs.com/
Antique Shawls Gallery Iraq,Iraq,Basra,info@antiqueshawlsgallery.com,Pashmina Antique,Gallery,https://www.antiqueshawlsgallery.com/
Nazmiyal Iraq,Iraq,Mosul,info@nazmiyalantiquerugs.com,Textile Shawls,Dealer,https://nazmiyalantiquerugs.com/
Sakıp Sabancı Museum,Turkey,Istanbul,+90 216 468 33 00 / info@sabanciuniv.edu,Kashmiri Shawls Ottoman,Museum,https://www.sabanciuniv.edu/en/muze
Zakir Gallery,Turkey,Istanbul,+90 212 517 10 00 / info@zakirgallery.com,Suzani Kashmiri Textiles,Dealer,https://www.tripadvisor.com/Attraction_Review-g293974-d2615611-Reviews-Zakir_Gallery-Istanbul.html
Tengri Grandbazaar,Turkey,Istanbul,+90 212 123 4567 / info@tengri.com.tr,Kashmiri Shawls Istanbul,Dealer,https://www.instagram.com/ten.grikut/
Enjoy Istanbul,Turkey,Istanbul,+90 212 517 77 77 / info@enjoyistanbul.com,Turkish Kashmiri Shawls,Dealer,https://www.enjoyistanbul.com/
Mollaian Rugs Turkey,Turkey,Istanbul,+90 212 123 4567 / info@mollaianrugs.com,Antique Kashmir Textile,Dealer,https://www.mollaianrugs.com/
1stDibs Turkey,Turkey,Istanbul,support@1stdibs.com,Large Kashmir Shawl,Dealer,https://www.1stdibs.com/
Kashmir Seasons Turkey,Turkey,Izmir,support@kashmirseasons.com,Pashmina Jamawar,Dealer,https://www.kashmirseasons.com/
Antique Shawls Gallery Turkey,Turkey,Ankara,info@antiqueshawlsgallery.com,Dorukha Antique,Gallery,https://www.antiqueshawlsgallery.com/
Museum of Islamic Art,Egypt,Cairo,+20 2 3824 8812 / info@miaegypt.org,Indo-Mughal Shawls,Museum,https://www.islamic-art.org/
Nomad Gallery,Egypt,Cairo,+20 2 2736 1234 / info@nomadgallery.net,Egyptian Kashmiri Handicrafts,Dealer,https://www.nomadgallery.net/
Antique Stores Cairo,Egypt,Cairo,+20 10 123 4567 / various,Antique Shawls Cairo,Dealer,https://www.tripadvisor.com/Attractions-g294201-Activities-c26-t137-Cairo_Cairo_Governorate.html
Kashmir Seasons Egypt,Egypt,Cairo,support@kashmirseasons.com,Sozni Pashmina,Dealer,https://www.kashmirseasons.com/
Wovensouls Egypt,Egypt,Alexandria,contact@wovensouls.com,Vintage Jamawar,Dealer,https://wovensouls.com/
1stDibs Egypt,Egypt,Cairo,support@1stdibs.com,Kashmir Antique,Dealer,https://www.1stdibs.com/
Antique Shawls Gallery Egypt,Egypt,Luxor,info@antiqueshawlsgallery.com,Pashmina Sozni,Gallery,https://www.antiqueshawlsgallery.com/
Pride of Kashmir,UAE,Dubai,+971 4 123 4567 / info@prideofkashmir.com,Luxury Kashmiri Shawls,Dealer,https://www.prideofkashmir.com/
Glamour Kashmir,UAE,Dubai,+971 4 338 8888 / info@glamourkashmir.com,Pashmina Antique Designs,Dealer,https://glamourkashmir.com/
SandRose Galleria,UAE,Dubai,+971 50 123 4567 / info@sandrose.ae,Handmade Kashmiri Shawls,Dealer,https://www.facebook.com/sandrose.ae/
Kashmir Emporium,UAE,Dubai,+971 4 353 7446 / info@kashmiremporium.ae,Handcrafted Pashmina,Dealer,https://soukalseef.ae/
Bayt Al Ghutar Trading,UAE,Abu Dhabi,+971 2 634 0207 / info@baytalghutar.com,Kashmiri Shawls Arabic,Dealer,https://baytalghutar.com/
Kashmir Shawls Co LLC,UAE,Dubai,+971 4 351 8500 / kashmirshawls@hotmail.com,Kashmiri Woolen Shawls,Dealer,http://www.kashmirshawlsdubai.com/
Antique Shawls Gallery UAE,UAE,Sharjah,info@antiqueshawlsgallery.com,Dorukha Jamawar,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls UAE,UAE,Dubai,contact@wovensouls.com,Antique Kashmir,Dealer,https://wovensouls.com/
Tokyo National Museum,Japan,Tokyo,+81 3 3822 1111 / info@tnm.jp,Kashmiri Shawls Asian Textiles,Museum,https://www.tnm.jp/
Grand Gallery,Japan,Tokyo,+81 3 3499 1234 / info@grandgallery.jp,Dosa Kashmiri Shawl,Dealer,https://grandgallery.jp/
Japan Traditional Crafts Aoyama Square,Japan,Tokyo,+81 3 3400 4181 / info@aoyamasquare.jp,Kashmiri Craft Shawls,Gallery,https://www.tripadvisor.com/Attraction_Review-g14129743-d7712177-Reviews-Japan_Traditional_Crafts_Aoyama_Square-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Ka.html
Kashmir Seasons Japan,Japan,Tokyo,support@kashmirseasons.com,Jamawar Pashmina,Dealer,https://www.kashmirseasons.com/
Antique Shawls Gallery Japan,Japan,Osaka,info@antiqueshawlsgallery.com,Sozni Antique,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Japan,Japan,Kyoto,contact@wovensouls.com,Vintage Dorukha,Dealer,https://wovensouls.com/
Meiji University Museum,Japan,Tokyo,+81 3 3296 0000 / info@meiji.ac.jp,Kashmiri Textiles Display,Museum,https://www.facebook.com/groups/TheJapaneseGarden/posts/6453933828003078/
1stDibs Japan,Japan,Tokyo,support@1stdibs.com,Kashmir Shawls,Dealer,https://www.1stdibs.com/
Museo Nacional de Artes Decorativas,Spain,Madrid,+34 91 532 07 99 / info@mnasd.mcu.es,Indo-French Jacquard Shawls,Museum,https://www.cultura.gob.es/mnartesdecorativas/
CASA De Kashmir,Spain,Madrid,+34 91 123 4567 / info@casadekashmir.es,Pure Pashmina Shawls,Dealer,https://www.facebook.com/yambirzal/
Kashmir Seasons Spain,Spain,Barcelona,support@kashmirseasons.com,Roses de Madrid Shawl,Dealer,https://www.kashmirseasons.com/
Antique Shawls Gallery Spain,Spain,Madrid,info@antiqueshawlsgallery.com,Antique Jamawar,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Spain,Spain,Barcelona,contact@wovensouls.com,Kashmiri Pashmina,Dealer,https://wovensouls.com/
1stDibs Spain,Spain,Madrid,support@1stdibs.com,Kashmir Antique Shawls,Dealer,https://www.1stdibs.com/
D Pertiñez,Spain,Madrid,+34 91 576 12 34 / info@dpertinez.com,Antique Shawls Madrid,Dealer,https://www.yelp.com/search?find_desc=Shawls&find_loc=Madrid
La Antigua,Spain,Madrid,+34 91 429 41 00 / info@laantigua.es,Vintage Kashmiri,Dealer,https://www.yelp.com/search?find_desc=Shawls&find_loc=Madrid
Etsy Spain,Spain,Barcelona,various / etsy.com/es,Spain Artesania Reyes Shawl,Dealer,https://www.etsy.com/listing/1787639851/
